"","type","sep","file","ethn","issue","dep","country","geog"
"89","n",",","data/numerator/dep/mort3dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","3","New Zealand","National"
"90","n",",","data/numerator/dep/mort4dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","4","New Zealand","National"
"91","n",",","data/numerator/dep/mort5dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","5","New Zealand","National"
"92","n",",","data/numerator/dep/mort6dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","6","New Zealand","National"
"93","n",",","data/numerator/dep/mort7dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","7","New Zealand","National"
"94","n",",","data/numerator/dep/mort8dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","8","New Zealand","National"
"95","n",",","data/numerator/dep/mort9dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","9","New Zealand","National"
"96","n",",","data/numerator/dep/mort10dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","10","New Zealand","National"
"97","n",",","data/numerator/dep/mort12dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","12","New Zealand","National"
"98","n",",","data/numerator/dep/mort34dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","34","New Zealand","National"
"99","n",",","data/numerator/dep/mort56dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","56","New Zealand","National"
"100","n",",","data/numerator/dep/mort78dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","78","New Zealand","National"
"101","n",",","data/numerator/dep/mort910dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","910","New Zealand","National"
"102","n",",","data/numerator/dep/mort1dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","1","New Zealand","National"
"103","n",",","data/numerator/dep/mort2dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","2","New Zealand","National"
