"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2006,"Female",0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,46,51,"Manawatu-Wanganui",1
2006,"Total",0,0,0,1,0,0,0,0,0,0,1,1,3,4,4,6,63,83,"Manawatu-Wanganui",1
2007,"Male",0,0,0,0,1,1,0,1,1,0,0,1,3,2,2,2,14,28,"Manawatu-Wanganui",1
2007,"Female",1,0,0,0,0,0,1,0,1,0,1,0,1,1,3,5,35,49,"Manawatu-Wanganui",1
2007,"Total",1,0,0,0,1,1,1,1,2,0,1,1,4,3,5,7,49,77,"Manawatu-Wanganui",1
2008,"Male",0,0,0,0,2,0,0,0,1,2,0,0,3,4,4,2,13,31,"Manawatu-Wanganui",1
2008,"Female",2,0,0,0,0,0,0,1,0,0,0,1,1,2,3,13,39,62,"Manawatu-Wanganui",1
2008,"Total",2,0,0,0,2,0,0,1,1,2,0,1,4,6,7,15,52,93,"Manawatu-Wanganui",1
2009,"Male",1,0,0,0,1,1,0,1,2,0,2,2,0,2,3,6,19,40,"Manawatu-Wanganui",1
2009,"Female",1,0,0,0,0,0,0,0,0,0,2,2,0,3,3,9,42,62,"Manawatu-Wanganui",1
2009,"Total",2,0,0,0,1,1,0,1,2,0,4,4,0,5,6,15,61,102,"Manawatu-Wanganui",1
2010,"Male",0,0,0,0,0,1,0,0,0,0,2,1,2,3,4,4,18,35,"Manawatu-Wanganui",1
2010,"Female",2,0,0,0,0,0,0,1,0,0,1,0,1,3,3,4,30,45,"Manawatu-Wanganui",1
2010,"Total",2,0,0,0,0,1,0,1,0,0,3,1,3,6,7,8,48,80,"Manawatu-Wanganui",1
2011,"Male",0,0,0,0,0,0,0,0,0,2,0,0,4,3,3,6,27,45,"Manawatu-Wanganui",1
2011,"Female",2,0,0,0,0,0,0,0,0,1,0,0,3,3,1,2,45,57,"Manawatu-Wanganui",1
2011,"Total",2,0,0,0,0,0,0,0,0,3,0,0,7,6,4,8,72,102,"Manawatu-Wanganui",1
2012,"Male",1,0,0,0,0,0,0,0,1,1,1,1,4,3,7,8,15,42,"Manawatu-Wanganui",1
2012,"Female",0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,3,39,49,"Manawatu-Wanganui",1
2012,"Total",1,0,0,0,0,0,0,0,2,1,1,2,6,3,10,11,54,91,"Manawatu-Wanganui",1
2013,"Male",0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,4,22,34,"Manawatu-Wanganui",1
2013,"Female",0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,3,48,57,"Manawatu-Wanganui",1
2013,"Total",0,0,0,1,0,0,0,0,0,1,1,2,3,2,4,7,70,91,"Manawatu-Wanganui",1
2006,"Male",10,0,0,4,2,1,3,0,1,4,6,9,10,10,11,34,58,163,"Wellington",1
2006,"Female",7,0,0,2,1,0,0,1,1,6,3,8,7,7,9,9,92,153,"Wellington",1
2006,"Total",17,0,0,6,3,1,3,1,2,10,9,17,17,17,20,43,150,316,"Wellington",1
2007,"Male",4,0,0,0,1,2,0,1,5,4,3,11,10,11,13,26,53,144,"Wellington",1
2007,"Female",5,0,1,0,1,0,1,0,2,1,5,11,2,7,9,17,104,166,"Wellington",1
2007,"Total",9,0,1,0,2,2,1,1,7,5,8,22,12,18,22,43,157,310,"Wellington",1
2008,"Male",6,0,0,1,1,3,2,1,2,6,5,12,9,16,22,26,58,170,"Wellington",1
2008,"Female",4,0,0,0,0,2,0,3,3,0,1,4,7,12,7,25,98,166,"Wellington",1
2008,"Total",10,0,0,1,1,5,2,4,5,6,6,16,16,28,29,51,156,336,"Wellington",1
2009,"Male",7,0,0,2,2,0,1,2,2,4,4,6,8,10,14,19,54,135,"Wellington",1
2009,"Female",3,1,0,0,0,1,0,2,3,1,4,2,3,3,10,11,122,166,"Wellington",1
2009,"Total",10,1,0,2,2,1,1,4,5,5,8,8,11,13,24,30,176,301,"Wellington",1
2010,"Male",6,0,0,1,2,0,0,5,0,2,1,9,13,13,8,20,72,152,"Wellington",1
2010,"Female",4,0,0,1,0,1,2,1,5,1,8,8,13,10,12,17,103,186,"Wellington",1
2010,"Total",10,0,0,2,2,1,2,6,5,3,9,17,26,23,20,37,175,338,"Wellington",1
2011,"Male",3,0,0,0,0,3,1,1,4,3,7,10,11,13,17,22,80,175,"Wellington",1
2011,"Female",1,0,0,2,0,0,0,1,3,3,5,6,9,11,14,14,128,197,"Wellington",1
2011,"Total",4,0,0,2,0,3,1,2,7,6,12,16,20,24,31,36,208,372,"Wellington",1
2012,"Male",4,0,1,0,0,1,0,2,2,3,4,6,8,17,11,14,75,148,"Wellington",1
2012,"Female",2,0,0,0,0,0,2,0,3,3,4,5,6,8,16,16,118,183,"Wellington",1
2012,"Total",6,0,1,0,0,1,2,2,5,6,8,11,14,25,27,30,193,331,"Wellington",1
2013,"Male",5,0,0,3,0,2,1,4,2,6,7,10,8,11,14,27,77,177,"Wellington",1
2013,"Female",1,0,0,1,1,0,1,2,1,5,6,4,9,8,12,12,109,172,"Wellington",1
2013,"Total",6,0,0,4,1,2,2,6,3,11,13,14,17,19,26,39,186,349,"Wellington",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2006,"Female",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,"Tasman",1
2006,"Total",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,"Tasman",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Tasman",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Tasman",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,"Tasman",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,"Tasman",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Tasman",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,"Tasman",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
