"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2006,"Male",0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,3,10,20,"Taranaki",1
2006,"Female",0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,3,18,26,"Taranaki",1
2006,"Total",0,0,0,0,0,0,1,0,0,1,2,2,2,3,1,6,28,46,"Taranaki",1
2007,"Male",0,0,0,0,0,0,0,0,1,1,3,0,3,3,1,3,12,27,"Taranaki",1
2007,"Female",0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,3,14,26,"Taranaki",1
2007,"Total",0,0,0,0,0,0,0,0,2,1,3,0,6,6,3,6,26,53,"Taranaki",1
2008,"Male",1,0,0,0,0,0,0,1,0,0,1,1,1,2,1,4,13,25,"Taranaki",1
2008,"Female",1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,4,26,35,"Taranaki",1
2008,"Total",2,1,0,0,0,0,0,1,0,1,1,2,1,3,1,8,39,60,"Taranaki",1
2009,"Male",0,0,0,0,0,1,1,0,0,1,0,2,1,0,2,3,19,30,"Taranaki",1
2009,"Female",0,0,0,0,0,1,0,0,2,1,1,0,1,2,3,3,22,36,"Taranaki",1
2009,"Total",0,0,0,0,0,2,1,0,2,2,1,2,2,2,5,6,41,66,"Taranaki",1
2010,"Male",2,0,0,1,0,0,0,1,0,2,0,1,2,1,3,4,20,37,"Taranaki",1
2010,"Female",0,1,0,0,0,0,0,0,0,1,0,1,2,1,3,4,34,47,"Taranaki",1
2010,"Total",2,1,0,1,0,0,0,1,0,3,0,2,4,2,6,8,54,84,"Taranaki",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,5,23,38,"Taranaki",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,2,35,49,"Taranaki",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,2,3,4,7,6,7,58,87,"Taranaki",1
2012,"Male",0,0,0,2,0,1,0,0,0,0,2,3,1,2,5,10,16,42,"Taranaki",1
2012,"Female",0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,4,32,41,"Taranaki",1
2012,"Total",0,0,0,2,0,1,0,1,1,1,3,3,1,2,6,14,48,83,"Taranaki",1
2013,"Male",1,0,0,0,0,0,0,0,0,0,1,1,3,3,3,7,26,45,"Taranaki",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,2,5,0,1,2,7,42,59,"Taranaki",1
2013,"Total",1,0,0,0,0,0,0,0,0,0,3,6,3,4,5,14,68,104,"Taranaki",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,"Hawke's Bay",1
2006,"Female",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,6,"Hawke's Bay",1
2006,"Total",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,10,13,"Hawke's Bay",1
2007,"Male",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,6,11,"Hawke's Bay",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,10,"Hawke's Bay",1
2007,"Total",0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,3,14,21,"Hawke's Bay",1
2008,"Male",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,"Hawke's Bay",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13,16,"Hawke's Bay",1
2008,"Total",0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,13,21,"Hawke's Bay",1
2009,"Male",0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,4,12,23,"Hawke's Bay",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,21,28,"Hawke's Bay",1
2009,"Total",0,0,0,1,0,0,0,0,0,1,1,1,1,1,5,7,33,51,"Hawke's Bay",1
2010,"Male",0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,8,18,"Hawke's Bay",1
2010,"Female",1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,24,36,"Hawke's Bay",1
2010,"Total",1,0,0,0,0,0,0,0,0,1,1,5,4,3,2,5,32,54,"Hawke's Bay",1
2011,"Male",0,0,0,0,0,1,1,0,0,1,0,0,1,5,6,2,7,24,"Hawke's Bay",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,23,31,"Hawke's Bay",1
2011,"Total",0,0,0,0,0,1,1,0,0,1,0,0,3,6,9,4,30,55,"Hawke's Bay",1
2012,"Male",0,0,0,0,0,1,0,0,0,0,0,1,2,4,2,4,14,28,"Hawke's Bay",1
2012,"Female",1,0,0,0,1,0,0,0,1,0,1,1,3,0,0,4,15,27,"Hawke's Bay",1
2012,"Total",1,0,0,0,1,1,0,0,1,0,1,2,5,4,2,8,29,55,"Hawke's Bay",1
2013,"Male",1,0,0,2,0,1,0,0,0,0,1,1,1,2,6,4,11,30,"Hawke's Bay",1
2013,"Female",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,4,16,24,"Hawke's Bay",1
2013,"Total",1,1,0,2,0,1,0,0,0,0,1,1,2,3,7,8,27,54,"Hawke's Bay",1
2006,"Male",0,0,0,0,1,0,0,0,0,0,1,2,2,0,1,3,8,18,"Midcentral",1
2006,"Female",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,12,15,"Midcentral",1
2006,"Total",0,0,0,1,1,0,0,0,0,0,1,2,2,2,1,3,20,33,"Midcentral",1
2007,"Male",0,0,0,0,1,1,0,1,1,0,0,1,3,2,1,1,7,19,"Midcentral",1
2007,"Female",1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,0,6,14,"Midcentral",1
2007,"Total",1,0,0,0,1,1,1,1,2,0,1,1,4,4,2,1,13,33,"Midcentral",1
2008,"Male",0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,0,7,14,"Midcentral",1
2008,"Female",2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,11,19,"Midcentral",1
2008,"Total",2,0,0,0,1,0,0,0,1,1,0,0,2,4,1,3,18,33,"Midcentral",1
